felt,tekst,__index_level_0__
8100,"Verdireduksjon av finansielle instrumenter vurdert til virkelig verdi",131
8105,"Netto negativ resultatandel vedrørende investering i DS, TS og FKV",132
8115,"Nedskriving av finansielle eiendeler",133
8120,"Kalkulatorisk rente fjernings- og nedstengningsforpliktelse",134
8130,"Rentekostnad til foretak i samme konsern",135
8150,"Annen rentekostnad",136
8154,"Garantikostnad til foretak i samme konsern",137
8159,"Annen garantikostnad",138
8160,"Tap ved kursendring på valuta",139
8174,"Tap ved realisasjon av aksjer, egenkapitalbevis og fondsandeler",140
8175,"Finanskostnader til foretak i samme konsern",141
8179,"Andre finanskostnader",142
sumFinanskostnad,"SUM Finanskostnader",143
"",,
"","Skattekostnader",144
8300,"Betalbar skatt på ordinært resultat",145
8321,"Økning i utsatt skatt/nedgang i utsatt skattefordel på ordinært resultat",146
8322,"Nedgang i utsatt skatt/økning i utsatt skattefordel på ordinært resultat",147
8323,"For lite avsatt skatt fra forrige år",148
8324,"For mye avsatt skatt fra forrige år",149
sumSkattekostnad,"SUM Skattekostnader",150
"",,
aarsresultat,"SUM Årsresultat",162
